,input size,RunLengthEncode size,RunLengthEncode Compression Ratio,Huffman size,Huffman Compression Ratio
0,152,80,1.9,43,3.535
1,168,112,1.5,57,2.947
2,136,208,0.654,59,2.305
3,160,128,1.25,56,2.857
4,168,176,0.955,65,2.585
5,88,176,0.5,39,2.256
6,168,160,1.05,62,2.71
7,160,160,1.0,60,2.667
8,184,144,1.278,72,2.556
9,88,96,0.917,29,3.034
10,128,144,0.889,48,2.667
11,128,128,1.0,46,2.783
12,120,128,0.938,42,2.857
13,128,144,0.889,49,2.612
14,104,144,0.722,41,2.537
15,136,144,0.944,53,2.566
16,112,48,2.333,20,5.6
17,128,144,0.889,40,3.2
18,136,96,1.417,43,3.163
19,120,112,1.071,42,2.857
